SOF  LON  12-JUL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type  ,Bus Group ,Account   ,Sub Acc   ,Contract       ,Roll/Delivery Date,    Strike,      Lotsize,Sq,B,           Lots,    Lots Signed,          Price,   Trdate,   Exe,   Tradeno,   Vouchno,Ccy,        Cont Val,       MtM Value,     Orig Comm,     Open Comm,   Comm Posted,  Last Trd,          Close,Frc,Trade Reference     ,Trade Time,Prod Group,HseClt,CltBkr,Exchange,Country Code,LME Trade Type,OTC Y/N,    Deal Number,LME Markup     ,Underlying Code,Underlying Price,Date,UTI                                                 ,TRN                                                 ,Account LEI         ,Broker LEI          ,Comm Ccy,Decimal Trade Price,External Sub Account,Trade Source,Trade Type,Contract Type,CLF,CLF Ccy,EFEE,EFEE Ccy,EXC,EXC Ccy,EXEC,EXEC Ccy,Exchange ID
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12379,12-Jul-19,  LGHF,281684680,          ,EUR,61895,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684680                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684680                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12379,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12380,12-Jul-19,  LGHF,281684682,          ,EUR,61900,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684682                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684682                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12380,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12382,12-Jul-19,  LGHF,281684681,          ,EUR,61910,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684681                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684681                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12382,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12407,12-Jul-19,  LGHF,281684683,          ,EUR,62035,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684683                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684683                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12407,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.7,12-Jul-19,  LGHF,281684685,          ,USD,78562.5,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684685                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684685                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.7,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.71,12-Jul-19,  LGHF,281684684,          ,USD,78568.75,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684684                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684684                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.71,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.8,12-Jul-19,  LGHF,281684686,          ,USD,78625,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684686                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684686                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.8,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.92,12-Jul-19,  LGHF,281684690,          ,USD,78700,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684690                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684690                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.92,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.93,12-Jul-19,  LGHF,281684689,          ,USD,78706.25,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684689                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684689                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.93,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.94,12-Jul-19,  LGHF,281684687,          ,USD,78712.5,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684687                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684687                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.94,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
